# https://juejin.cn/post/6844903630655471624

#separator:tab
#html:true
响应式布局中理想视口的HTML meta设置	"<pre><code class=""language-html"">&lt;meta name=""viewport"" content=""width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=no""&gt;</code></pre>"
CSS实现0.5px边框解决方案	"<pre><code class=""language-css"">.thin-border {
  position: relative;
}
.thin-border::before {
  content: """";
  position: absolute;
  top: 0;
  left: 0;
  width: 200%;
  height: 200%;
  border: 1px solid #000;  /* 原始1px边框 */
  transform: scale(0.5);   /* 缩放50%实现0.5px效果 */
  transform-origin: 0 0;
}</code></pre>"
CSS实现小于12px字体渲染	"<pre><code class=""language-css"">.tiny-text {
  display: inline-block;  /* 保证缩放不影响布局 */
  font-size: 12px;        /* 满足最小字号要求 */
  transform: scale(0.67); /* 8px/12px≈0.67 */
}</code></pre>"
CSS解决文本溢出对齐问题	"<pre><code class=""language-css"">.text-align-fix {
  line-break: anywhere;   /* 允许任意位置断行 */
  word-break: break-all;  /* 强制单词内断行 */
}</code></pre>"
JavaScript解决刘海屏定位问题	"<pre><code class=""language-javascript"">// 动态计算安全区位置
function updateSafePosition() {
  const header = document.querySelector('.header');
  const fixedElement = document.querySelector('.fixed-element');
  
  if (header && fixedElement) {
    // 获取导航栏高度并设置元素位置
    const headerHeight = header.offsetHeight;
    fixedElement.style.top = `${headerHeight}px`;
  }
}

// 页面加载和窗口变化时更新
window.addEventListener('load', updateSafePosition);
window.addEventListener('resize', updateSafePosition);</code></pre>"
CSS定制字体解决安卓字重问题	"<pre><code class=""language-css"">@font-face {
  font-family: 'CustomMedium';
  src: url('fonts/medium.woff2') format('woff2');
  font-weight: 500;  /* 明确定义中等字重 */
}

.element {
  font-family: 'CustomMedium', sans-serif;
  font-weight: 500; /* 正常渲染中等字重 */
}</code></pre>"
HTML解决GIF色差问题	"<pre><code class=""language-html"">&lt;!-- 使用视频替代GIF并设置背景色 --&gt;
&lt;div style=""background-color: #F5F5F5; display: inline-block;"">
  &lt;video autoplay loop muted playsinline&gt;
    &lt;source src=""animation.mp4"" type=""video/mp4""&gt;
  &lt;/video&gt;
&lt;/div&gt;</code></pre>"
CSS禁用iOS橡皮筋效果	"<pre><code class=""language-css"">.no-bounce {
  overscroll-behavior: none;        /* 标准属性 */
  -webkit-overflow-scrolling: auto; /* Safari专属 */
}</code></pre>"
CSS解决inline-block幽灵空白	"<pre><code class=""language-css"">.parent {
  font-size: 0; /* 消除换行符空白 */
}

.child {
  display: inline-block;
  font-size: 16px; /* 单独重置字号 */
}</code></pre>"
CSS解决内联元素底部空白	"<pre><code class=""language-css"">.inline-fix {
  display: inline-block;
  vertical-align: top; /* 顶部对齐 */
  line-height: 0;      /* 消除行高间隙 */
}</code></pre>"
JavaScript解决DPR差异定位漂移	"<pre><code class=""language-javascript"">// 获取元素精确位置（兼容DPR差异）
function getDPRPosition(element) {
  const rect = element.getBoundingClientRect();
  // 考虑设备像素比和滚动位置
  return rect.top * window.devicePixelRatio + window.scrollY;
}

// 使用示例
const target = document.querySelector('.target-element');
const position = getDPRPosition(target);
console.log(`精确位置: ${position}px`);</code></pre>"
