# 01 | delete 0：JavaScript中到底有什么是可以销毁的

#separator:tab
#html:true
JavaScript中delete操作值类型的返回值	"<pre><code class=""language-javascript"">console.log(delete 0); // true (操作值类型始终返回true)
console.log(delete ""hello""); // true
console.log(delete NaN); // true</code></pre>"
JavaScript赋值操作的本质	"<pre><code class=""language-javascript"">// LHS(左值) = RHS(右值)
let target; // LHS声明
target = 100; // RHS赋值

// 链式赋值陷阱
function testScope() {
  var x = y = 100; // y成为隐式全局变量
}
testScope();
console.log(y); // 100 (全局污染)</code></pre>"
JavaScript隐式全局变量问题	"<pre><code class=""language-javascript"">// 非严格模式
function leakVariable() {
  leaked = ""全局变量""; // 自动创建全局属性
}
leakVariable();
console.log(globalThis.leaked); // ""全局变量""
console.log(delete leaked); // true (可删除)

// 严格模式修复
function strictMode() {
  ""use strict"";
  // undeclaredVar = 10; // ReferenceError
}
strictMode();</code></pre>"
JavaScript全局环境双体系结构	"<pre><code class=""language-javascript"">// var声明变量
var declaredVar = ""可删除性测试"";
console.log(delete declaredVar); // false (不可删除)
console.log(""declaredVar"" in globalThis); // true

// 隐式全局变量
implicitGlobal = ""隐式创建"";
console.log(delete implicitGlobal); // true (可删除)

// eval特例
eval('var evalVar = ""eval创建""');
console.log(delete evalVar); // true (可删除)</code></pre>"
JavaScript声明与赋值的关键差异	"<pre><code class=""language-javascript"">// 声明语句无返回值
let declarationResult = let x = 10; // SyntaxError

// 赋值表达式返回值
const obj = {
  method() {
    return this === obj;
  }
};

const methodRef = obj.method;
console.log(methodRef()); // false (丢失this绑定)</code></pre>"
JavaScript环境创建流程伪代码	"<pre><code class=""language-text"">// 编译阶段
1. 词法分析: 扫描源代码
2. 注册标识符:
   - var/function → 初始化为undefined
   - let/const → 标记为<未初始化>(TDZ)

// 执行阶段
3. 逐行执行代码:
   - 遇到赋值 → 处理LHS引用
   - 遇到表达式 → 计算RHS值
   - 访问TDZ变量 → 抛出ReferenceError</code></pre>"
JavaScript引用(Reference)组成解析	"<pre><code class=""language-javascript"">// obj.prop对应的引用结构
const ref = {
  base: obj,       // 基值对象
  name: 'prop',    // 属性名
  strict: false    // 严格模式标志
};

// 实际删除操作
delete ref; // 等效于 delete obj.prop</code></pre>"
JavaScript严格模式行为修正	"<pre><code class=""language-javascript"">""use strict"";

// 1. 禁止隐式全局变量
// undeclaredVar = 10; // ReferenceError

// 2. 禁止删除不可配置属性
const obj = Object.defineProperty({}, 'x', {
  value: 100,
  configurable: false
});
// delete obj.x; // TypeError

// 3. 禁止访问未初始化变量
let y;
// console.log(z); // ReferenceError (z未声明)</code></pre>"


# 03 | a.x = a = {n:2}：一道被无数人无数次地解释过的经典面试题

#separator:tab
#html:true
JavaScript连续赋值计算顺序示例	"<pre><code class=""language-javascript"">let a = {n: 1};
let ref = a;  // 保存原始引用

// 关键案例：连续赋值
a.x = a = {n: 2};

console.log(a.x);    // undefined (新对象没有x属性)
console.log(ref.x);  // {n: 2} (原始对象被添加了x属性)
console.log(ref);    // {n: 1, x: {n: 2}}
console.log(a);      // {n: 2}</code></pre>"
JavaScript引用保存机制解析	"<pre><code class=""language-javascript"">// 引用 = {基值, 属性名, 严格标志}
const obj = {value: 10};

function getReference() {
  return obj.prop; // 返回引用对象（非实际值）
}

// 引用保存示例
const ref = {
  base: obj,
  name: 'prop',
  strict: false
};

// 后续赋值不受原始对象修改影响
obj = {value: 20}; // 创建新对象
ref.base[ref.name] = 100; // 修改原始对象的属性

console.log(obj);     // {value: 20} (新对象)
console.log(ref.base); // {value: 10, prop: 100} (原始对象)</code></pre>"
JavaScript链表构建技巧	"<pre><code class=""language-javascript"">// 使用引用保存机制构建链表
function createLinkedList(size) {
  let root = {};
  let current = root;
  
  for(let i = 0; i < size; i++) {
    // 关键：保存对当前节点next属性的引用
    current.next = current = {
      value: i,
      next: null
    };
  }
  
  return root.next; // 返回第一个有效节点
}

const list = createLinkedList(3);
console.log(list);        // {value: 0, next: {...}}
console.log(list.next);   // {value: 1, next: {...}}
console.log(list.next.next); // {value: 2, next: null}</code></pre>"
JavaScript对象冻结对赋值的影响	"<pre><code class=""language-javascript"">const original = {n: 1};
Object.freeze(original); // 冻结对象

try {
  // 尝试修改冻结对象
  original.x = original = {n: 2};
} catch (e) {
  console.error(""操作失败:"", e.message); 
  // TypeError: Cannot add property x, object is not extensible
}

console.log(original); // {n: 1} (未被修改)
console.log(original.x); // undefined (未添加属性)</code></pre>"
JavaScript声明与赋值的本质区别	"<pre><code class=""language-javascript"">// 声明语句 vs 赋值表达式

// 声明语句（标识符绑定）
let x = (y = 100); // 声明x，同时隐式创建全局y
console.log(x, y); // 100, 100

// 赋值表达式（引用操作）
const obj = {};
obj.prop = obj = {value: 200}; // 操作已保存的引用

console.log(obj.prop); // undefined (新对象)
console.log(obj);      // {value: 200}</code></pre>"
JavaScript全局变量双体系结构	"<pre><code class=""language-javascript"">// var声明变量（不可删除）
var declaredVar = ""声明变量"";
console.log(delete declaredVar); // false
console.log(""declaredVar"" in globalThis); // true

// 隐式全局变量（可删除）
implicitGlobal = ""隐式变量"";
console.log(delete implicitGlobal); // true (非严格模式)

// eval特例：var声明但可删除
eval('var evalVar = ""eval创建""');
console.log(delete evalVar); // true</code></pre>"
JavaScript严格模式行为修正	"<pre><code class=""language-javascript"">""use strict"";

// 1. 禁止隐式全局变量
function testImplicit() {
  // implicit = 10; // ReferenceError
}

// 2. 禁止删除不可配置属性
const obj = Object.defineProperty({}, 'x', {
  value: 100,
  configurable: false
});

function testDelete() {
  // delete obj.x; // TypeError
}

// 3. 禁止访问未声明变量
function testAccess() {
  // console.log(undeclared); // ReferenceError
}

testImplicit();
testDelete();
testAccess();</code></pre>"
JavaScript关键复习题解答	"<pre><code class=""language-javascript"">// 1. with语句中的delete
with({x: 100}) {
  console.log(delete x); // true (删除with对象的属性)
}

// 2. eval作用域差异
function testEval() {
  const x = ""local"";
  
  // 直接eval使用局部作用域
  (0, eval)('console.log(x)'); // ""local"" (非严格模式)
  
  // 间接eval使用全局作用域
  (0, eval)('console.log(y)'); // ReferenceError (全局无y)
}

// 3. 冻结对象的赋值尝试
const frozen = Object.freeze({});
try {
  frozen.prop = 100; // TypeError
} catch(e) {
  console.log(""安全失败"");
}

// 4. with语句中的隐式全局
with({}) {
  undeclared = ""test""; // 非严格模式创建全局变量
}
console.log(globalThis.undeclared); // ""test""</code></pre>"

# 04 | export default function() {}：你无法导出一个匿名函数表达式

#separator:tab
#html:true
ES6模块静态装配特性示例	"<pre><code class=""language-javascript"">// 模块A.js
export let x = 1; // 编译期登记名字
export function log() { console.log(x); }

// 模块B.js
import { x, log } from './A.js';
console.log(x); // 1 (静态装配已完成名字绑定)
x = 2; // TypeError: 导入绑定不可修改
log(); // 2 (但模块内修改有效)</code></pre>"
ES6模块六种导出语法形式	"<pre><code class=""language-javascript"">// 1. 变量声明导出
export let count = 0;

// 2. 函数声明导出
export function increment() { count++; }

// 3. 类声明导出
export class Counter {
  constructor() { this.value = 0; }
}

// 4. 重命名导出
export { count as total };

// 5. 默认导出
export default function() { return ""default export""; }

// 6. 转发导出
export { increment as inc } from './utils.js';</code></pre>"
export default的实质解析	"<pre><code class=""language-javascript"">// 编译期处理
export default 42;
// 等价于：
var default = 42; // 引擎隐式创建(但模块内不可访问)
export { default as default };

// 函数导出差异
export default function demo() {}
// 具名函数 → 名字为""demo""
export default function() {}
// 匿名函数 → 名字为""default""</code></pre>"
匿名函数导出的特殊性	"<pre><code class=""language-javascript"">// 1. 具名函数导出
export function namedFn() {}
console.log(namedFn.name); // ""namedFn""

// 2. 匿名函数默认导出
export default function() {};
// 导入后:
import fn from './module.js';
console.log(fn.name); // ""default"" (引擎自动命名)

// 3. 真正匿名函数
console.log((function(){}).name); // """" (空字符串)</code></pre>"
对象字面量的导出优势	"<pre><code class=""language-javascript"">// 模块内部变量
const apiVersion = ""1.0"";
const fetchData = () => ({ data: [] });

// 组合导出方案
export default {
  version: apiVersion, // 绑定当前值
  fetch: fetchData,     // 绑定函数引用
  constants: {          // 直接导出值
    MAX_ITEMS: 100
  }
};

// 导入方使用
import api from './api.js';
console.log(api.version); // ""1.0""
api.fetch(); // 调用函数</code></pre>"
模块装配流程伪代码	"<pre><code class=""language-text"">// 阶段1: 编译期静态装配
1. 解析所有import语句 → 构建依赖树
2. 登记所有export标识符 → 填充词法名字表(lexicalNames)

// 阶段2: 运行时执行
3. 按依赖顺序执行模块顶层代码:
   - 初始化变量(let/const)
   - 执行函数/类声明提升
   - 计算默认导出值
4. 绑定名字与值:
   - 导出标识符 → 内存地址
   - 导入标识符 → 只读引用</code></pre>"
名字空间与绑定特性	"<pre><code class=""language-javascript"">// 模块A: 导出可变状态
export let state = { value: 0 };

// 模块B: 导入使用
import { state } from './A.js';

// 导入方特性:
// state = {}; // TypeError: 禁止直接赋值
state.value = 1; // 允许: 修改对象属性

// 名字空间导入
import * as A from './A.js';
A.state.value = 2; // 允许: 通过名字空间修改
// A.state = {}; // TypeError: 名字空间只读</code></pre>"
导出项特性与限制	"<pre><code class=""language-javascript"">// 1. 禁止删除导出项
export const PI = 3.14;
// delete PI; // 语法错误

// 2. 禁止重复导出
export { PI };
// export { PI as MathPI }; // 允许重命名
// export const PI = 3.14; // SyntaxError: 重复声明

// 3. 类表达式导出
export const Calculator = class {
  add(a, b) { return a + b; }
};</code></pre>"
默认导出的边界情况	"<pre><code class=""language-javascript"">// 合法默认导出
export default 2 + 2; // 表达式结果
export default class { // 匿名类
  method() {}
}

// 非法操作
// export default const x = 10; // SyntaxError
// export default let y = 20; // SyntaxError

// 函数表达式导出
export default (function() {
  return ""IIFE 结果"";
})();</code></pre>"
变量提升现象解析	"<pre><code class=""language-javascript"">// 现象: import似乎""提升""
console.log(api); // 正常访问 (不会报错)
import api from './api.js';

// 本质: 编译期处理
// 实际执行顺序:
// 1. 编译期登记所有导入名字
// 2. 运行时按顺序执行代码
// 效果类似变量提升，但机制不同</code></pre>"
模块执行入口特性	"<pre><code class=""language-javascript"">// 无传统main函数
// 顶层代码自动执行

// 依赖顺序决定执行顺序
// 模块A:
console.log('A执行');
import './B.js';

// 模块B:
console.log('B执行');

// 输出:
// B执行
// A执行 (因A依赖B，B先执行)</code></pre>"
名字绑定异常案例	"<pre><code class=""language-javascript"">// 案例1: 修改导入的let绑定
import { mutableVar } from './module.js';
// mutableVar = ""新值""; // TypeError (严格模式)

// 案例2: 修改默认导入
import defaultExport from './module.js';
// defaultExport = ""新值""; // TypeError

// 案例3: 访问未导出变量
import { nonExported } from './module.js';
// 抛出错误: 未导出标识符</code></pre>"


# 05 | for (let x of [1,2,3]) ...：for循环并不比使用函数递归节省开销


#separator:tab
#html:true
JavaScript switch语句的作用域特性	"<pre><code class=""language-javascript"">// 所有case共享同一作用域
let condition = 'b';
switch(condition) {
  case 'a':
    let value = 10; // 声明覆盖整个switch块
    console.log(value);
    break;
    
  case 'b':
    // console.log(value); // ReferenceError! 变量已声明但未初始化
    value = 20; // 可以访问前case声明的变量
    console.log(value); // 20
    break;
}</code></pre>"
for循环的迭代作用域机制	"<pre><code class=""language-javascript"">// 每次迭代创建独立作用域
let funcs = [];
for (let i = 0; i < 3; i++) {
  // 每次迭代创建新的i绑定
  funcs.push(() => console.log(i));
}

funcs[0](); // 0
funcs[1](); // 1
funcs[2](); // 2

// 对比var声明的行为
var funcsVar = [];
for (var j = 0; j < 3; j++) {
  funcsVar.push(() => console.log(j));
}
funcsVar[0](); // 3 (所有闭包共享同一个j)</code></pre>"
for循环作用域的分层结构	"<pre><code class=""language-javascript"">// 作用域分层示例
let outer = ""外部"";
for (let i = 0; i < 2; i++) {
  let inner = `迭代${i}`;
  
  {
    // 嵌套块作用域
    let blockScoped = `块${i}`;
    console.log(outer, inner, blockScoped);
  }
  
  // console.log(blockScoped); // ReferenceError (块作用域外不可访问)
}

// console.log(i); // ReferenceError (for循环作用域外不可访问)</code></pre>"
var声明的历史包袱问题	"<pre><code class=""language-javascript"">// var的函数级作用域
function testVarScope() {
  for (var i = 0; i < 3; i++) {
    var inner = i * 2;
  }
  console.log(i);      // 3 (泄漏出循环)
  console.log(inner);  // 4 (泄漏出循环块)
}

testVarScope();

// 变量提升现象
console.log(hoisted); // undefined (不会ReferenceError)
var hoisted = ""已提升"";</code></pre>"
ES6的双体系作用域示例	"<pre><code class=""language-javascript"">// 变量作用域 vs 词法作用域
function scopeTest() {
  // var/函数声明使用变量作用域
  if (true) {
    var functionScoped = ""可提升"";
    function fn() {}
  }
  console.log(functionScoped); // ""可提升""
  
  // let/const使用词法作用域
  if (true) {
    let blockScoped = ""块内"";
    const PI = 3.14;
    // console.log(PI); // 正常
  }
  // console.log(blockScoped); // ReferenceError
}

scopeTest();</code></pre>"
迭代作用域与递归的等价性	"<pre><code class=""language-javascript"">// for循环的迭代作用域
function loopWithScopes(n) {
  for (let i = 0; i < n; i++) {
    let value = i * 10;
    // 每次迭代创建新的作用域
  }
}

// 等价的递归实现
function recursiveLoop(i, n) {
  if (i >= n) return;
  
  // 创建新作用域
  (function() {
    let value = i * 10;
    // 相当于迭代内的操作
  })();
  
  recursiveLoop(i + 1, n);
}

// 两种方式都创建N个作用域
loopWithScopes(5);
recursiveLoop(0, 5);</code></pre>"
循环内块语句的性能影响	"<pre><code class=""language-javascript"">// 避免不必要的嵌套块
console.time(""无嵌套块"");
for (let i = 0; i < 1000000; i++) {
  // 直接操作
  let sum = i + i;
}
console.timeEnd(""无嵌套块"");

console.time(""有嵌套块"");
for (let i = 0; i < 1000000; i++) {
  { // 额外块作用域
    let sum = i + i;
  }
}
console.timeEnd(""有嵌套块"");

// 在大型循环中，额外作用域创建会有性能开销</code></pre>"
词法声明的单语句限制	"<pre><code class=""language-javascript"">// 禁止在单语句位置使用词法声明
// if (true) let x = 10; // SyntaxError

// 合法方式：使用块语句
if (true) {
  let y = 20; // 允许
}

// 循环头部限制
// for (let i = 0; i < 3; let j = i); // SyntaxError

// 函数声明在循环头部无效
// for (function fn() {}; i < 3; i++) {} // 无效</code></pre>"
闭包捕获迭代状态示例	"<pre><code class=""language-javascript"">// 正确捕获迭代状态
const timers = [];
for (let i = 0; i < 3; i++) {
  timers.push(setTimeout(() => {
    console.log(`迭代${i}完成`);
  }, 100 * i));
}

// 输出:
// 迭代0完成
// 迭代1完成
// 迭代2完成

// 错误示例(var声明)
const timersError = [];
for (var j = 0; j < 3; j++) {
  timersError.push(setTimeout(() => {
    console.log(`迭代${j}完成`); // 全部输出""迭代3完成""
  }, 100 * j));
}</code></pre>"
for循环头部声明类型限制	"<pre><code class=""language-javascript"">// 允许的声明类型
for (let i = 0; i < 2; i++) {}    // let允许
for (const i of [1,2]) {}        // const允许

// 不允许的声明类型
// for (var i = 0; i < 2; i++) {} // 允许但会泄漏
// for (function x() {}; i < 2; i++) {} // 无效语法

// 不同for变体
for (let i in {a:1,b:2}) {}     // for...in
for (let i of [1,2,3]) {}        // for...of
for await (let chunk of stream) {} // for await</code></pre>"

# 06 | x: break x; 搞懂如何在循环外使用break，方知语句执行真解

#separator:tab
#html:true
JavaScript标签语句基本语法	"<pre><code class=""language-javascript"">// 标签独立于变量命名空间
let checkpoint = ""变量"";
checkpoint: { // 标签可与变量同名
  console.log(checkpoint); // ""变量""
  break checkpoint; // 中断标签块
}
console.log(""块外继续执行"");</code></pre>"
break在finally中的特殊执行次序	"<pre><code class=""language-javascript"">function testBreakInFinally() {
  checkpoint: try {
    console.log(""进入try块"");
    return 100; // 将被跳过
  } finally {
    console.log(""执行finally"");
    break checkpoint; // 中断并跳转
  }
  return 200; // 实际返回
}

console.log(testBreakInFinally()); 
// 输出:
// 进入try块
// 执行finally
// 200</code></pre>"
跨函数作用域的break操作	"<pre><code class=""language-javascript"">outer: {
  console.log(""外层开始"");
  
  function inner() {
    console.log(""内层函数"");
    break outer; // 跳出外层标签块
  }
  
  inner();
  console.log(""不会执行到此""); // 被跳过
}

console.log(""标签块外继续"");</code></pre>"
完成记录的组成与状态	"<pre><code class=""language-text"">// 完成记录的结构
{
  [[Type]]: ""break"" | ""normal"" | ""continue"" | ""return"" | ""throw"",
  [[Value]]: Any, // 仅return/throw携带值
  [[Target]]: label // 仅break/continue携带标签
}

// 五种完成状态示例:
1. normal: { type: ""normal"", value: undefined } // 普通语句完成
2. break: { type: ""break"", target: ""label"" }  // break语句
3. return: { type: ""return"", value: 100 }      // return语句
4. throw: { type: ""throw"", value: Error }     // throw语句
5. continue: { type: ""continue"", target: ""loop"" } // continue语句</code></pre>"
完成记录传递规则示例	"<pre><code class=""language-javascript"">console.log(eval(`
  main: {
    inner: {
      if (true) {
        break main; // 类型: break, 目标: main
      }
      ""inner块最后语句"" // 不被执行
    }
    ""main块最后语句"" // 不被执行
  }
  ""外层最后语句"" // 返回此值
`)); // 输出: ""外层最后语句""</code></pre>"
最小化break语句实现	"<pre><code class=""language-javascript"">// 最小化break实现
minimal: break minimal;

// 等价于:
label: {
  break label;
}

// 空值特性验证
const result = (() => {
  empty: break empty;
  return ""返回值"";
})();

console.log(result); // ""返回值"" (break不覆盖返回值)</code></pre>"
语句执行与函数执行对比	"<pre><code class=""language-javascript"">// 语句执行特性
let statementResult;
main: {
  statementResult = ""语句值"";
  break main;
}

// 函数执行特性
function funcExecution() {
  return ""函数值"";
}

console.log(statementResult); // ""语句值""
console.log(funcExecution()); // ""函数值""

// 关键差异:
// 1. 语句立即回收作用域，函数通过闭包保留
// 2. 语句返回完成记录，函数返回值/引用</code></pre>"
结构化编程的标签替代方案	"<pre><code class=""language-javascript"">// 替代GOTO的安全跳转
function processData(data) {
  validation: {
    if (!data) break validation;
    if (typeof data !== 'object') break validation;
    
    // 有效数据处理
    console.log(""数据处理"");
    return;
  }
  
  // 无效数据分支
  console.error(""无效数据"");
}

processData(null); // 无效数据
processData({});  // 数据处理</code></pre>"
完成记录状态转换示例	"<pre><code class=""language-javascript"">function testCompletionTypes() {
  // normal完成
  let normal = 1 + 1;
  
  try {
    // return完成
    return ""返回值"";
  } finally {
    // break完成 (会覆盖return)
    breakBlock: break breakBlock;
  }
  
  return ""不会执行"";
}

console.log(testCompletionTypes()); // undefined (break不携带值)</code></pre>"
Empty值的传播特性	"<pre><code class=""language-javascript"">// Empty值在多语句中的传播
const result = (() => {
  // 空语句
  ;
  
  // break语句
  empty: break empty;
  
  // 返回语句
  return ""实际返回值"";
})();

console.log(result); // ""实际返回值"" (Empty不覆盖)</code></pre>"
跨多层标签的break操作	"<pre><code class=""language-javascript"">outer: {
  console.log(""外层"");
  
  middle: {
    console.log(""中层"");
    
    inner: {
      console.log(""内层"");
      break outer; // 直接跳出到最外层
    }
    
    console.log(""中层未执行"");
  }
  
  console.log(""外层未执行"");
}

console.log(""全局继续"");</code></pre>"


# 07 | `${1}`：详解JavaScript中特殊的可执行结构

#separator:tab
#html:true
JavaScript参数表动态绑定机制	"<pre><code class=""language-javascript"">// 参数表作为List规范类型
let counter = 0;

function testParamBinding(a = counter++, b = a * 2) {
  console.log(`a=${a}, b=${b}`);
}

testParamBinding(); // a=0, b=0 (counter=1)
testParamBinding(10); // a=10, b=20 (counter=1)
testParamBinding(); // a=1, b=2 (counter=2)

// 表达式可访问外部变量
const multiplier = 3;
function multiply(x = multiplier) {
  return x * 2;
}
console.log(multiply()); // 6</code></pre>"
JavaScript参数展开本质	"<pre><code class=""language-javascript"">// 依赖迭代器协议
function sum(...nums) {
  return nums.reduce((total, num) => total + num, 0);
}

// 等效手动实现
function manualSum() {
  const nums = [];
  for (let i = 0; i < arguments.length; i++) {
    nums.push(arguments[i]);
  }
  return nums.reduce((t, n) => t + n, 0);
}

console.log(sum(1, 2, 3)); // 6
console.log(manualSum(1, 2, 3)); // 6

// 自定义可迭代对象
const customIterable = {
  *[Symbol.iterator]() {
    yield 10;
    yield 20;
    yield 30;
  }
};
console.log(sum(...customIterable)); // 60</code></pre>"
JavaScript赋值模板应用场景	"<pre><code class=""language-javascript"">// 1. 变量声明解构
const user = { id: 1, name: ""Alice"" };
const { id, name } = user;
console.log(id, name); // 1 ""Alice""

// 2. 函数参数解构
function render({ title = ""Untitled"", content }) {
  console.log(`<h1>${title}</h1><p>${content}</p>`);
}
render({ content: ""Hello world"" }); // <h1>Untitled</h1><p>Hello world</p>

// 3. 循环解构
const entries = Object.entries({ a: 1, b: 2 });
for (const [key, value] of entries) {
  console.log(`${key}: ${value}`); // a:1, b:2
}</code></pre>"
JavaScript普通模板字面体	"<pre><code class=""language-javascript"">// 基本用法
const name = ""Alice"";
const age = 30;
console.log(`Name: ${name}, Age: ${age}`); // Name: Alice, Age: 30

// 多行文本
const multiLine = `
  <div>
    <h2>${name}</h2>
    <p>Age: ${age}</p>
  </div>
`;
console.log(multiLine);

// 表达式支持
console.log(`Next year: ${age + 1}`); // Next year: 31

// 缓存机制优化
const template = `User: ${name}`;
console.log(template); // 引擎内部缓存解析结果</code></pre>"
JavaScript标签模板实现原理	"<pre><code class=""language-javascript"">// 自定义标签函数
function currency(strings, ...values) {
  let result = strings[0];
  for (let i = 0; i < values.length; i++) {
    result += `$${values[i].toFixed(2)}${strings[i+1]}`;
  }
  return result;
}

const item = ""Coffee"";
const price = 3.5;
const taxRate = 0.08;

console.log(currency`${item}: ${price} (tax: ${taxRate})`);
// Coffee: $3.50 (tax: $0.08)

// 原始字符串访问
function rawTag(strings, ...values) {
  console.log(strings.raw[0]); // 包含转义字符的原始文本
}
rawTag`First line\nSecond line`; // ""First line\\nSecond line""</code></pre>"
JavaScript引用(Reference)模型	"<pre><code class=""language-javascript"">// 引用组成示例
const obj = { value: 10 };
const propRef = {
  base: obj,
  referencedName: ""value"",
  strict: false
};

// 动态方法调用
obj.method = function() {
  console.log(this.value); // this = base
};
obj.method(); // 10

// 严格模式指令
function strictTest() {
  ""use strict"";
  // undeclared = 10; // ReferenceError
}
strictTest();</code></pre>"
JavaScript函数实例化过程	"<pre><code class=""language-javascript"">// 伪代码演示实例化
function createFunction(params, body) {
  // 1. 创建闭包环境
  const closureEnv = new Environment();
  
  // 2. 绑定参数名
  for (const param of params) {
    closureEnv.declare(param, undefined);
  }
  
  // 3. 返回可执行函数
  return {
    execute(args) {
      // 绑定实际参数值
      for (let i = 0; i < params.length; i++) {
        closureEnv.set(params[i], args[i]);
      }
      // 执行函数体
      return interpret(body, closureEnv);
    }
  };
}

const myFunc = createFunction([""x"", ""y""], ""return x + y;"");
console.log(myFunc.execute([10, 20])); // 30</code></pre>"
JavaScript合法但无效操作示例	"<pre><code class=""language-javascript"">// 语法通过但运行时报错
try {
  1 = 2; // Syntax OK, Runtime ReferenceError
} catch (e) {
  console.log(e.message); // Invalid left-hand side in assignment
}

// 解构失败处理
const obj = { existing: ""value"" };
const { existing, missing } = obj;
console.log(existing, missing); // ""value"" undefined

// 函数参数默认值解构
function draw({ x = 0, y = 0 } = {}) {
  console.log(`Drawing at (${x}, ${y})`);
}
draw(); // Drawing at (0, 0)</code></pre>"
JavaScript模板字面量内部结构	"<pre><code class=""language-javascript"">// 伪结构表示
const name = ""Bob"";
const age = 25;

const template = {
  raw: [""Name: "", "", Age: "", """"], // 原始文本段
  cooked: [""Name: "", "", Age: "", """"], // 处理后的文本段
  expressions: [name, age] // 表达式引用
};

// 标签模板实际接收的参数
function debugTag(strings, ...values) {
  console.log(""原始文本:"", strings);
  console.log(""原始文本(未转义):"", strings.raw);
  console.log(""表达式值:"", values);
  return ""Result"";
}

debugTag`Name: ${name}, Age: ${age}`;</code></pre>"

# 08 | x => x：函数式语言的核心抽象：函数与表达式的同一性

#separator:tab
#html:true
JavaScript函数双重性演示	"<pre><code class=""language-javascript"">// 静态视角：函数对象
function namedFunction() {}
console.log(typeof namedFunction); // ""function""
console.log(namedFunction.name); // ""namedFunction""

// 动态视角：执行结构
const funcs = [];
for (let i = 0; i < 3; i++) {
  // 每次循环创建新的闭包
  funcs.push(function f() { return i; });
}
console.log(funcs[0] === funcs[1]); // false
console.log(funcs[0]()); // 0
console.log(funcs[1]()); // 1</code></pre>"
JavaScript参数传递机制	"<pre><code class=""language-javascript"">// 非惰性求值：参数在调用前计算
let counter = 0;
function log(x = counter++) {
  console.log(x);
}

log(); // 0 (counter=1)
log(); // 1 (counter=2)

// 值传递（非引用）
let value = 100;
function update(val) {
  val = 200;
  console.log(val); // 200
}
update(value);
console.log(value); // 100 (原值不变)</code></pre>"
